Rent Asset,Thiết bị dịch vụ,
Asset,Thiết bị,
Total customers,Tổng số khách hàng,
Master,Danh mục,
Rent Order,Phiếu thuê,
Rent Return,Phiếu trả,
Payment,Thanh toán,
Support,Hỗ trợ,
Order Template,Mẫu dịch vụ,
Rent Order Temp,Mẫu dịch vụ,
Tax Rates,Danh mục thuế,
Rent Price,Bảng giá,
Stock Entry,Giao dịch kho,
Weekly Revalue,Doanh thu,
Total Assets,Tổng thiết bị,
Total Customers,Tổng khách hàng,
Valid Orders,Đơn hàng hiệu lực,
Overdue Return,Quá hạn,
Tax name,Tên thuế,
Asset Name,Tên thiết bị,
Available Qtty,Sẵn có,
Price List,Bảng giá,
Rate,Đơn giá,
Quantity,Khối lượng,
Service Name,Tên dịch vụ,
Total Day,Số ngày,
Rent name,Tên phiếu,
Customer,Khách hàng,
Pay amount,Số tiền,
Total amount,Tổng tiền,
Paid amount,Đã trả,
Customer Name,Tên khách hàng,
Customer Type,Loại khách hàng,
Disabled,Vô hiệu,
Address 1,Địa chỉ 1,
Address 2,Địa chỉ 2,
Order item,Thiết bị,
Service item,Dịch vụ,
Location Name,Tên khu vực,
Expected total day,Số ngày,
Expected out date,Ngày bắt đầu (dự kiến),
Expected return date,Ngày trả (dự kiến),
Rent payment,Thanh toán,
Unpaid,Chờ trả,
Rent Total,Số ngày,
